	filename	cellType	treatment	antibody	description
261	wgEncodeAwgTfbsHaibSknshTaf1V0416101UniPk.narrowPeak	SK-N-SH	None	TAF1	ChIP SK-N-SH TAF1
262	wgEncodeAwgTfbsHaibSknshraCtcfV0416102UniPk.narrowPeak	SK-N-SH_RA	None	CTCF	ChIP SK-N-SH_RA CTCF
263	wgEncodeAwgTfbsHaibSknshraP300V0416102UniPk.narrowPeak	SK-N-SH_RA	None	p300	ChIP SK-N-SH_RA p300
264	wgEncodeAwgTfbsHaibSknshraRad21V0416102UniPk.narrowPeak	SK-N-SH_RA	None	Rad21	ChIP SK-N-SH_RA Rad21
265	wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk.narrowPeak	SK-N-SH_RA	None	USF1_(SC-8983)	ChIP SK-N-SH_RA USF1_(SC-8983)
266	wgEncodeAwgTfbsHaibSknshraYy1sc281V0416102UniPk.narrowPeak	SK-N-SH_RA	None	YY1_(SC-281)	ChIP SK-N-SH_RA YY1_(SC-281)
267	wgEncodeAwgTfbsHaibT47dCtcfsc5916V0416102Dm002p1hUniPk.narrowPeak	T-47D	DMSO_0.02pct	CTCF_(SC-5916)	ChIP T-47D CTCF_(SC-5916)
268	wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk.narrowPeak	T-47D	BPA_100nM	ERalpha_a	ChIP T-47D ERalpha_a
269	wgEncodeAwgTfbsHaibT47dEralphaaPcr2xGen1hUniPk.narrowPeak	T-47D	Genistein_100nM	ERalpha_a	ChIP T-47D ERalpha_a
270	wgEncodeAwgTfbsHaibT47dEralphaaV0416102Est10nm1hUniPk.narrowPeak	T-47D	Estradiol_10nM	ERalpha_a	ChIP T-47D ERalpha_a
271	wgEncodeAwgTfbsHaibT47dFoxa1sc6553V0416102Dm002p1hUniPk.narrowPeak	T-47D	DMSO_0.02pct	FOXA1_(SC-6553)	ChIP T-47D FOXA1_(SC-6553)
272	wgEncodeAwgTfbsHaibT47dGata3sc268V0416102Dm002p1hUniPk.narrowPeak	T-47D	DMSO_0.02pct	GATA3_(SC-268)	ChIP T-47D GATA3_(SC-268)
273	wgEncodeAwgTfbsHaibT47dP300V0416102Dm002p1hUniPk.narrowPeak	T-47D	DMSO_0.02pct	p300	ChIP T-47D p300
274	wgEncodeAwgTfbsHaibU87NrsfPcr2xUniPk.narrowPeak	U87	None	NRSF	ChIP U87 NRSF
275	wgEncodeAwgTfbsHaibU87Pol24h8V0416101UniPk.narrowPeak	U87	None	Pol2-4H8	ChIP U87 Pol2-4H8
276	wgEncodeAwgTfbsSydhA549Bhlhe40IggrabUniPk.narrowPeak	A549	None	BHLHE40	ChIP A549 BHLHE40
277	wgEncodeAwgTfbsSydhA549CebpbIggrabUniPk.narrowPeak	A549	None	CEBPB	ChIP A549 CEBPB
278	wgEncodeAwgTfbsSydhA549MaxIggrabUniPk.narrowPeak	A549	None	Max	ChIP A549 Max
279	wgEncodeAwgTfbsSydhA549Pol2s2IggrabUniPk.narrowPeak	A549	None	Pol2(phosphoS2)	ChIP A549 Pol2(phosphoS2)
280	wgEncodeAwgTfbsSydhA549Rad21IggrabUniPk.narrowPeak	A549	None	Rad21	ChIP A549 Rad21
281	wgEncodeAwgTfbsSydhGm08714Znf274UcdUniPk.narrowPeak	GM08714	None	ZNF274	ChIP GM08714 ZNF274
282	wgEncodeAwgTfbsSydhGm10847NfkbTnfaIggrabUniPk.narrowPeak	GM10847	TNFa	NFKB	ChIP GM10847 NFKB
283	wgEncodeAwgTfbsSydhGm10847Pol2IggmusUniPk.narrowPeak	GM10847	None	Pol2	ChIP GM10847 Pol2
284	wgEncodeAwgTfbsSydhGm12878Bhlhe40cIggmusUniPk.narrowPeak	GM12878	None	BHLHE40_(NB100-1800)	ChIP GM12878 BHLHE40_(NB100-1800)
285	wgEncodeAwgTfbsSydhGm12878Brca1a300IggmusUniPk.narrowPeak	GM12878	None	BRCA1_(A300-000A)	ChIP GM12878 BRCA1_(A300-000A)
286	wgEncodeAwgTfbsSydhGm12878CfosUniPk.narrowPeak	GM12878	None	c-Fos	ChIP GM12878 c-Fos
287	wgEncodeAwgTfbsSydhGm12878Chd1a301218aIggmusUniPk.narrowPeak	GM12878	None	CHD1_(A301-218A)	ChIP GM12878 CHD1_(A301-218A)
288	wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk.narrowPeak	GM12878	None	CHD2_(AB68301)	ChIP GM12878 CHD2_(AB68301)
289	wgEncodeAwgTfbsSydhGm12878Corestsc30189IggmusUniPk.narrowPeak	GM12878	None	COREST_(sc-30189)	ChIP GM12878 COREST_(sc-30189)
290	wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk.narrowPeak	GM12878	None	CTCF_(SC-15914)	ChIP GM12878 CTCF_(SC-15914)
291	wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk.narrowPeak	GM12878	None	E2F4	ChIP GM12878 E2F4
292	wgEncodeAwgTfbsSydhGm12878Ebf1sc137065UniPk.narrowPeak	GM12878	None	EBF1_(SC-137065)	ChIP GM12878 EBF1_(SC-137065)
293	wgEncodeAwgTfbsSydhGm12878Elk112771IggmusUniPk.narrowPeak	GM12878	None	ELK1_(1277-1)	ChIP GM12878 ELK1_(1277-1)
294	wgEncodeAwgTfbsSydhGm12878Ikzf1iknuclaUniPk.narrowPeak	GM12878	None	IKZF1_(IkN)_(UCLA)	ChIP GM12878 IKZF1_(IkN)_(UCLA)
295	wgEncodeAwgTfbsSydhGm12878JundUniPk.narrowPeak	GM12878	None	JunD	ChIP GM12878 JunD
296	wgEncodeAwgTfbsSydhGm12878MaxIggmusUniPk.narrowPeak	GM12878	None	Max	ChIP GM12878 Max
297	wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk.narrowPeak	GM12878	None	MAZ_(ab85725)	ChIP GM12878 MAZ_(ab85725)
298	wgEncodeAwgTfbsSydhGm12878Mxi1IggmusUniPk.narrowPeak	GM12878	None	Mxi1_(AF4185)	ChIP GM12878 Mxi1_(AF4185)
299	wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk.narrowPeak	GM12878	None	NF-E2_(SC-22827)	ChIP GM12878 NF-E2_(SC-22827)
300	wgEncodeAwgTfbsSydhGm12878NfkbTnfaIggrabUniPk.narrowPeak	GM12878	TNFa	NFKB	ChIP GM12878 NFKB
301	wgEncodeAwgTfbsSydhGm12878NfyaIggmusUniPk.narrowPeak	GM12878	None	NF-YA	ChIP GM12878 NF-YA
302	wgEncodeAwgTfbsSydhGm12878NfybIggmusUniPk.narrowPeak	GM12878	None	NF-YB	ChIP GM12878 NF-YB
303	wgEncodeAwgTfbsSydhGm12878Nrf1IggmusUniPk.narrowPeak	GM12878	None	Nrf1	ChIP GM12878 Nrf1
304	wgEncodeAwgTfbsSydhGm12878P300IggmusUniPk.narrowPeak	GM12878	None	p300	ChIP GM12878 p300
305	wgEncodeAwgTfbsSydhGm12878P300bUniPk.narrowPeak	GM12878	None	p300_(SC-584)	ChIP GM12878 p300_(SC-584)
306	wgEncodeAwgTfbsSydhGm12878Pol2IggmusUniPk.narrowPeak	GM12878	None	Pol2	ChIP GM12878 Pol2
307	wgEncodeAwgTfbsSydhGm12878Pol2UniPk.narrowPeak	GM12878	None	Pol2	ChIP GM12878 Pol2
308	wgEncodeAwgTfbsSydhGm12878Pol2s2IggmusUniPk.narrowPeak	GM12878	None	Pol2(phosphoS2)	ChIP GM12878 Pol2(phosphoS2)
309	wgEncodeAwgTfbsSydhGm12878Pol3UniPk.narrowPeak	GM12878	None	Pol3	ChIP GM12878 Pol3
310	wgEncodeAwgTfbsSydhGm12878Rad21IggrabUniPk.narrowPeak	GM12878	None	Rad21	ChIP GM12878 Rad21
311	wgEncodeAwgTfbsSydhGm12878Rfx5200401194IggmusUniPk.narrowPeak	GM12878	None	RFX5_(200-401-194)	ChIP GM12878 RFX5_(200-401-194)
312	wgEncodeAwgTfbsSydhGm12878Sin3anb6001263IggmusUniPk.narrowPeak	GM12878	None	SIN3A_(NB600-1263)	ChIP GM12878 SIN3A_(NB600-1263)
313	wgEncodeAwgTfbsSydhGm12878Smc3ab9263IggmusUniPk.narrowPeak	GM12878	None	SMC3_(ab9263)	ChIP GM12878 SMC3_(ab9263)
314	wgEncodeAwgTfbsSydhGm12878Stat1UniPk.narrowPeak	GM12878	None	STAT1	ChIP GM12878 STAT1
315	wgEncodeAwgTfbsSydhGm12878Stat3IggmusUniPk.narrowPeak	GM12878	None	STAT3	ChIP GM12878 STAT3
316	wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk.narrowPeak	GM12878	None	TBLR1_(ab24550)	ChIP GM12878 TBLR1_(ab24550)
317	wgEncodeAwgTfbsSydhGm12878TbpIggmusUniPk.narrowPeak	GM12878	None	TBP	ChIP GM12878 TBP
318	wgEncodeAwgTfbsSydhGm12878Tr4UniPk.narrowPeak	GM12878	None	TR4	ChIP GM12878 TR4
319	wgEncodeAwgTfbsSydhGm12878Usf2IggmusUniPk.narrowPeak	GM12878	None	USF2	ChIP GM12878 USF2
320	wgEncodeAwgTfbsSydhGm12878WhipIggmusUniPk.narrowPeak	GM12878	None	WHIP	ChIP GM12878 WHIP
321	wgEncodeAwgTfbsSydhGm12878Yy1UniPk.narrowPeak	GM12878	None	YY1	ChIP GM12878 YY1
322	wgEncodeAwgTfbsSydhGm12878Znf143166181apUniPk.narrowPeak	GM12878	None	Znf143_(16618-1-AP)	ChIP GM12878 Znf143_(16618-1-AP)
323	wgEncodeAwgTfbsSydhGm12878Znf274UniPk.narrowPeak	GM12878	None	ZNF274	ChIP GM12878 ZNF274
324	wgEncodeAwgTfbsSydhGm12878Zzz3UniPk.narrowPeak	GM12878	None	ZZZ3	ChIP GM12878 ZZZ3
325	wgEncodeAwgTfbsSydhGm12891NfkbTnfaIggrabUniPk.narrowPeak	GM12891	TNFa	NFKB	ChIP GM12891 NFKB
326	wgEncodeAwgTfbsSydhGm12891Pol2IggmusUniPk.narrowPeak	GM12891	None	Pol2	ChIP GM12891 Pol2
327	wgEncodeAwgTfbsSydhGm12892NfkbTnfaIggrabUniPk.narrowPeak	GM12892	TNFa	NFKB	ChIP GM12892 NFKB
328	wgEncodeAwgTfbsSydhGm12892Pol2IggmusUniPk.narrowPeak	GM12892	None	Pol2	ChIP GM12892 Pol2
329	wgEncodeAwgTfbsSydhGm15510NfkbTnfaIggrabUniPk.narrowPeak	GM15510	TNFa	NFKB	ChIP GM15510 NFKB
330	wgEncodeAwgTfbsSydhGm15510Pol2IggmusUniPk.narrowPeak	GM15510	None	Pol2	ChIP GM15510 Pol2
331	wgEncodeAwgTfbsSydhGm18505NfkbTnfaIggrabUniPk.narrowPeak	GM18505	TNFa	NFKB	ChIP GM18505 NFKB
332	wgEncodeAwgTfbsSydhGm18505Pol2IggmusUniPk.narrowPeak	GM18505	None	Pol2	ChIP GM18505 Pol2
333	wgEncodeAwgTfbsSydhGm18526NfkbTnfaIggrabUniPk.narrowPeak	GM18526	TNFa	NFKB	ChIP GM18526 NFKB
334	wgEncodeAwgTfbsSydhGm18526Pol2IggmusUniPk.narrowPeak	GM18526	None	Pol2	ChIP GM18526 Pol2
335	wgEncodeAwgTfbsSydhGm18951NfkbTnfaIggrabUniPk.narrowPeak	GM18951	TNFa	NFKB	ChIP GM18951 NFKB
336	wgEncodeAwgTfbsSydhGm18951Pol2IggmusUniPk.narrowPeak	GM18951	None	Pol2	ChIP GM18951 Pol2
337	wgEncodeAwgTfbsSydhGm19099NfkbTnfaIggrabUniPk.narrowPeak	GM19099	TNFa	NFKB	ChIP GM19099 NFKB
338	wgEncodeAwgTfbsSydhGm19099Pol2IggmusUniPk.narrowPeak	GM19099	None	Pol2	ChIP GM19099 Pol2
339	wgEncodeAwgTfbsSydhGm19193NfkbTnfaIggrabUniPk.narrowPeak	GM19193	TNFa	NFKB	ChIP GM19193 NFKB
340	wgEncodeAwgTfbsSydhGm19193Pol2IggmusUniPk.narrowPeak	GM19193	None	Pol2	ChIP GM19193 Pol2
341	wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk.narrowPeak	H1-hESC	None	Bach1_(sc-14700)	ChIP H1-hESC Bach1_(sc-14700)
342	wgEncodeAwgTfbsSydhH1hescBrca1IggrabUniPk.narrowPeak	H1-hESC	None	BRCA1_(A300-000A)	ChIP H1-hESC BRCA1_(A300-000A)
343	wgEncodeAwgTfbsSydhH1hescCebpbIggrabUniPk.narrowPeak	H1-hESC	None	CEBPB	ChIP H1-hESC CEBPB
344	wgEncodeAwgTfbsSydhH1hescChd1a301218aIggrabUniPk.narrowPeak	H1-hESC	None	CHD1_(A301-218A)	ChIP H1-hESC CHD1_(A301-218A)
345	wgEncodeAwgTfbsSydhH1hescChd2IggrabUniPk.narrowPeak	H1-hESC	None	CHD2_(AB68301)	ChIP H1-hESC CHD2_(AB68301)
346	wgEncodeAwgTfbsSydhH1hescCjunIggrabUniPk.narrowPeak	H1-hESC	None	c-Jun	ChIP H1-hESC c-Jun
347	wgEncodeAwgTfbsSydhH1hescCmycIggrabUniPk.narrowPeak	H1-hESC	None	c-Myc	ChIP H1-hESC c-Myc
348	wgEncodeAwgTfbsSydhH1hescCtbp2UcdUniPk.narrowPeak	H1-hESC	None	CtBP2	ChIP H1-hESC CtBP2
349	wgEncodeAwgTfbsSydhH1hescGtf2f1IggrabUniPk.narrowPeak	H1-hESC	None	GTF2F1_(AB28179)	ChIP H1-hESC GTF2F1_(AB28179)
350	wgEncodeAwgTfbsSydhH1hescJundIggrabUniPk.narrowPeak	H1-hESC	None	JunD	ChIP H1-hESC JunD
351	wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk.narrowPeak	H1-hESC	None	MafK_(ab50322)	ChIP H1-hESC MafK_(ab50322)
352	wgEncodeAwgTfbsSydhH1hescMaxUcdUniPk.narrowPeak	H1-hESC	None	Max	ChIP H1-hESC Max
353	wgEncodeAwgTfbsSydhH1hescMxi1IggrabUniPk.narrowPeak	H1-hESC	None	Mxi1_(AF4185)	ChIP H1-hESC Mxi1_(AF4185)
354	wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk.narrowPeak	H1-hESC	None	Nrf1	ChIP H1-hESC Nrf1
355	wgEncodeAwgTfbsSydhH1hescRad21IggrabUniPk.narrowPeak	H1-hESC	None	Rad21	ChIP H1-hESC Rad21
356	wgEncodeAwgTfbsSydhH1hescRfx5200401194IggrabUniPk.narrowPeak	H1-hESC	None	RFX5_(200-401-194)	ChIP H1-hESC RFX5_(200-401-194)
357	wgEncodeAwgTfbsSydhH1hescSin3anb6001263IggrabUniPk.narrowPeak	H1-hESC	None	SIN3A_(NB600-1263)	ChIP H1-hESC SIN3A_(NB600-1263)
358	wgEncodeAwgTfbsSydhH1hescSuz12UcdUniPk.narrowPeak	H1-hESC	None	SUZ12	ChIP H1-hESC SUZ12
359	wgEncodeAwgTfbsSydhH1hescTbpIggrabUniPk.narrowPeak	H1-hESC	None	TBP	ChIP H1-hESC TBP
360	wgEncodeAwgTfbsSydhH1hescUsf2IggrabUniPk.narrowPeak	H1-hESC	None	USF2	ChIP H1-hESC USF2
361	wgEncodeAwgTfbsSydhH1hescZnf143IggrabUniPk.narrowPeak	H1-hESC	None	Znf143_(16618-1-AP)	ChIP H1-hESC Znf143_(16618-1-AP)
362	wgEncodeAwgTfbsSydhHct116Pol2UcdUniPk.narrowPeak	HCT-116	None	Pol2	ChIP HCT-116 Pol2
363	wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk.narrowPeak	HCT-116	None	TCF7L2	ChIP HCT-116 TCF7L2
364	wgEncodeAwgTfbsSydhHek293Elk4UcdUniPk.narrowPeak	HEK293	None	ELK4	ChIP HEK293 ELK4
365	wgEncodeAwgTfbsSydhHek293Kap1UcdUniPk.narrowPeak	HEK293	None	KAP1	ChIP HEK293 KAP1
366	wgEncodeAwgTfbsSydhHek293Pol2UniPk.narrowPeak	HEK293	None	Pol2	ChIP HEK293 Pol2
367	wgEncodeAwgTfbsSydhHek293Tcf7l2UcdUniPk.narrowPeak	HEK293	None	TCF7L2	ChIP HEK293 TCF7L2
368	wgEncodeAwgTfbsSydhHek293tZnf263UcdUniPk.narrowPeak	HEK293-T-REx	None	ZNF263	ChIP HEK293-T-REx ZNF263
369	wgEncodeAwgTfbsSydhHelas3Ap2alphaUniPk.narrowPeak	HeLa-S3	None	AP-2alpha	ChIP HeLa-S3 AP-2alpha
370	wgEncodeAwgTfbsSydhHelas3Ap2gammaUniPk.narrowPeak	HeLa-S3	None	AP-2gamma	ChIP HeLa-S3 AP-2gamma
371	wgEncodeAwgTfbsSydhHelas3Baf155IggmusUniPk.narrowPeak	HeLa-S3	None	BAF155	ChIP HeLa-S3 BAF155
372	wgEncodeAwgTfbsSydhHelas3Baf170IggmusUniPk.narrowPeak	HeLa-S3	None	BAF170	ChIP HeLa-S3 BAF170
373	wgEncodeAwgTfbsSydhHelas3Bdp1UniPk.narrowPeak	HeLa-S3	None	BDP1	ChIP HeLa-S3 BDP1
374	wgEncodeAwgTfbsSydhHelas3Brca1a300IggrabUniPk.narrowPeak	HeLa-S3	None	BRCA1_(A300-000A)	ChIP HeLa-S3 BRCA1_(A300-000A)
375	wgEncodeAwgTfbsSydhHelas3Brf1UniPk.narrowPeak	HeLa-S3	None	BRF1	ChIP HeLa-S3 BRF1
376	wgEncodeAwgTfbsSydhHelas3Brf2UniPk.narrowPeak	HeLa-S3	None	BRF2	ChIP HeLa-S3 BRF2
377	wgEncodeAwgTfbsSydhHelas3Brg1IggmusUniPk.narrowPeak	HeLa-S3	None	Brg1	ChIP HeLa-S3 Brg1
378	wgEncodeAwgTfbsSydhHelas3CebpbIggrabUniPk.narrowPeak	HeLa-S3	None	CEBPB	ChIP HeLa-S3 CEBPB
379	wgEncodeAwgTfbsSydhHelas3CfosUniPk.narrowPeak	HeLa-S3	None	c-Fos	ChIP HeLa-S3 c-Fos
380	wgEncodeAwgTfbsSydhHelas3Chd2IggrabUniPk.narrowPeak	HeLa-S3	None	CHD2_(AB68301)	ChIP HeLa-S3 CHD2_(AB68301)
381	wgEncodeAwgTfbsSydhHelas3CjunIggrabUniPk.narrowPeak	HeLa-S3	None	c-Jun	ChIP HeLa-S3 c-Jun
382	wgEncodeAwgTfbsSydhHelas3CmycUniPk.narrowPeak	HeLa-S3	None	c-Myc	ChIP HeLa-S3 c-Myc
383	wgEncodeAwgTfbsSydhHelas3Corestsc30189IggrabUniPk.narrowPeak	HeLa-S3	None	COREST_(sc-30189)	ChIP HeLa-S3 COREST_(sc-30189)
384	wgEncodeAwgTfbsSydhHelas3E2f1UniPk.narrowPeak	HeLa-S3	None	E2F1	ChIP HeLa-S3 E2F1
385	wgEncodeAwgTfbsSydhHelas3E2f4UniPk.narrowPeak	HeLa-S3	None	E2F4	ChIP HeLa-S3 E2F4
386	wgEncodeAwgTfbsSydhHelas3E2f6UniPk.narrowPeak	HeLa-S3	None	E2F6	ChIP HeLa-S3 E2F6
387	wgEncodeAwgTfbsSydhHelas3Elk112771IggrabUniPk.narrowPeak	HeLa-S3	None	ELK1_(1277-1)	ChIP HeLa-S3 ELK1_(1277-1)
388	wgEncodeAwgTfbsSydhHelas3Elk4UcdUniPk.narrowPeak	HeLa-S3	None	ELK4	ChIP HeLa-S3 ELK4
389	wgEncodeAwgTfbsSydhHelas3Gtf2f1ab28179IggrabUniPk.narrowPeak	HeLa-S3	None	GTF2F1_(AB28179)	ChIP HeLa-S3 GTF2F1_(AB28179)
390	wgEncodeAwgTfbsSydhHelas3Hae2f1UniPk.narrowPeak	HeLa-S3	None	HA-E2F1	ChIP HeLa-S3 HA-E2F1
391	wgEncodeAwgTfbsSydhHelas3Ini1IggmusUniPk.narrowPeak	HeLa-S3	None	Ini1	ChIP HeLa-S3 Ini1
392	wgEncodeAwgTfbsSydhHelas3Irf3IggrabUniPk.narrowPeak	HeLa-S3	None	IRF3	ChIP HeLa-S3 IRF3
393	wgEncodeAwgTfbsSydhHelas3JundIggrabUniPk.narrowPeak	HeLa-S3	None	JunD	ChIP HeLa-S3 JunD
394	wgEncodeAwgTfbsSydhHelas3MafkIggrabUniPk.narrowPeak	HeLa-S3	None	MafK_(ab50322)	ChIP HeLa-S3 MafK_(ab50322)
395	wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk.narrowPeak	HeLa-S3	None	Max	ChIP HeLa-S3 Max
396	wgEncodeAwgTfbsSydhHelas3Mazab85725IggrabUniPk.narrowPeak	HeLa-S3	None	MAZ_(ab85725)	ChIP HeLa-S3 MAZ_(ab85725)
397	wgEncodeAwgTfbsSydhHelas3Mxi1af4185IggrabUniPk.narrowPeak	HeLa-S3	None	Mxi1_(AF4185)	ChIP HeLa-S3 Mxi1_(AF4185)
398	wgEncodeAwgTfbsSydhHelas3NfyaIggrabUniPk.narrowPeak	HeLa-S3	None	NF-YA	ChIP HeLa-S3 NF-YA
399	wgEncodeAwgTfbsSydhHelas3NfybIggrabUniPk.narrowPeak	HeLa-S3	None	NF-YB	ChIP HeLa-S3 NF-YB
400	wgEncodeAwgTfbsSydhHelas3Nrf1IggmusUniPk.narrowPeak	HeLa-S3	None	Nrf1	ChIP HeLa-S3 Nrf1
401	wgEncodeAwgTfbsSydhHelas3P300sc584sc584IggrabUniPk.narrowPeak	HeLa-S3	None	p300_(SC-584)	ChIP HeLa-S3 p300_(SC-584)
402	wgEncodeAwgTfbsSydhHelas3Pol2UniPk.narrowPeak	HeLa-S3	None	Pol2	ChIP HeLa-S3 Pol2
403	wgEncodeAwgTfbsSydhHelas3Pol2s2IggrabUniPk.narrowPeak	HeLa-S3	None	Pol2(phosphoS2)	ChIP HeLa-S3 Pol2(phosphoS2)
404	wgEncodeAwgTfbsSydhHelas3Prdm19115IggrabUniPk.narrowPeak	HeLa-S3	None	PRDM1_(9115)	ChIP HeLa-S3 PRDM1_(9115)
405	wgEncodeAwgTfbsSydhHelas3Rad21IggrabUniPk.narrowPeak	HeLa-S3	None	Rad21	ChIP HeLa-S3 Rad21
406	wgEncodeAwgTfbsSydhHelas3Rfx5200401194IggrabUniPk.narrowPeak	HeLa-S3	None	RFX5_(200-401-194)	ChIP HeLa-S3 RFX5_(200-401-194)
407	wgEncodeAwgTfbsSydhHelas3Rpc155UniPk.narrowPeak	HeLa-S3	None	RPC155	ChIP HeLa-S3 RPC155
408	wgEncodeAwgTfbsSydhHelas3Smc3ab9263IggrabUniPk.narrowPeak	HeLa-S3	None	SMC3_(ab9263)	ChIP HeLa-S3 SMC3_(ab9263)
409	wgEncodeAwgTfbsSydhHelas3Spt20UniPk.narrowPeak	HeLa-S3	None	SPT20	ChIP HeLa-S3 SPT20
410	wgEncodeAwgTfbsSydhHelas3Stat1Ifng30UniPk.narrowPeak	HeLa-S3	IFNg30	STAT1	ChIP HeLa-S3 STAT1
411	wgEncodeAwgTfbsSydhHelas3Stat3IggrabUniPk.narrowPeak	HeLa-S3	None	STAT3	ChIP HeLa-S3 STAT3
412	wgEncodeAwgTfbsSydhHelas3TbpIggrabUniPk.narrowPeak	HeLa-S3	None	TBP	ChIP HeLa-S3 TBP
413	wgEncodeAwgTfbsSydhHelas3Tcf7l2UcdUniPk.narrowPeak	HeLa-S3	None	TCF7L2	ChIP HeLa-S3 TCF7L2
414	wgEncodeAwgTfbsSydhHelas3Tcf7l2c9b92565UcdUniPk.narrowPeak	HeLa-S3	None	TCF7L2_C9B9_(2565)	ChIP HeLa-S3 TCF7L2_C9B9_(2565)
415	wgEncodeAwgTfbsSydhHelas3Tf3c110UniPk.narrowPeak	HeLa-S3	None	TFIIIC-110	ChIP HeLa-S3 TFIIIC-110
416	wgEncodeAwgTfbsSydhHelas3Tr4UniPk.narrowPeak	HeLa-S3	None	TR4	ChIP HeLa-S3 TR4
417	wgEncodeAwgTfbsSydhHelas3Usf2IggmusUniPk.narrowPeak	HeLa-S3	None	USF2	ChIP HeLa-S3 USF2
418	wgEncodeAwgTfbsSydhHelas3Zkscan1hpa006672IggrabUniPk.narrowPeak	HeLa-S3	None	ZKSCAN1_(HPA006672)	ChIP HeLa-S3 ZKSCAN1_(HPA006672)
419	wgEncodeAwgTfbsSydhHelas3Znf143IggrabUniPk.narrowPeak	HeLa-S3	None	Znf143_(16618-1-AP)	ChIP HeLa-S3 Znf143_(16618-1-AP)
420	wgEncodeAwgTfbsSydhHelas3Znf274UcdUniPk.narrowPeak	HeLa-S3	None	ZNF274	ChIP HeLa-S3 ZNF274
421	wgEncodeAwgTfbsSydhHelas3Zzz3UniPk.narrowPeak	HeLa-S3	None	ZZZ3	ChIP HeLa-S3 ZZZ3
422	wgEncodeAwgTfbsSydhHepg2Arid3anb100279IggrabUniPk.narrowPeak	HepG2	None	ARID3A_(NB100-279)	ChIP HepG2 ARID3A_(NB100-279)
423	wgEncodeAwgTfbsSydhHepg2Bhlhe40cIggrabUniPk.narrowPeak	HepG2	None	BHLHE40_(NB100-1800)	ChIP HepG2 BHLHE40_(NB100-1800)
424	wgEncodeAwgTfbsSydhHepg2Brca1a300IggrabUniPk.narrowPeak	HepG2	None	BRCA1_(A300-000A)	ChIP HepG2 BRCA1_(A300-000A)
425	wgEncodeAwgTfbsSydhHepg2CebpbForsklnUniPk.narrowPeak	HepG2	forskolin	CEBPB	ChIP HepG2 CEBPB
426	wgEncodeAwgTfbsSydhHepg2CebpbIggrabUniPk.narrowPeak	HepG2	None	CEBPB	ChIP HepG2 CEBPB
427	wgEncodeAwgTfbsSydhHepg2Chd2ab68301IggrabUniPk.narrowPeak	HepG2	None	CHD2_(AB68301)	ChIP HepG2 CHD2_(AB68301)
428	wgEncodeAwgTfbsSydhHepg2CjunIggrabUniPk.narrowPeak	HepG2	None	c-Jun	ChIP HepG2 c-Jun
429	wgEncodeAwgTfbsSydhHepg2Corestsc30189IggrabUniPk.narrowPeak	HepG2	None	COREST_(sc-30189)	ChIP HepG2 COREST_(sc-30189)
430	wgEncodeAwgTfbsSydhHepg2ErraForsklnUniPk.narrowPeak	HepG2	forskolin	ERRA	ChIP HepG2 ERRA
431	wgEncodeAwgTfbsSydhHepg2Grp20ForsklnUniPk.narrowPeak	HepG2	forskolin	GRp20	ChIP HepG2 GRp20
432	wgEncodeAwgTfbsSydhHepg2Hnf4aForsklnUniPk.narrowPeak	HepG2	forskolin	HNF4A	ChIP HepG2 HNF4A
433	wgEncodeAwgTfbsSydhHepg2Hsf1ForsklnUniPk.narrowPeak	HepG2	forskolin	HSF1	ChIP HepG2 HSF1
434	wgEncodeAwgTfbsSydhHepg2Irf3IggrabUniPk.narrowPeak	HepG2	None	IRF3	ChIP HepG2 IRF3
435	wgEncodeAwgTfbsSydhHepg2JundIggrabUniPk.narrowPeak	HepG2	None	JunD	ChIP HepG2 JunD
436	wgEncodeAwgTfbsSydhHepg2Maffm8194IggrabUniPk.narrowPeak	HepG2	None	MafF_(M8194)	ChIP HepG2 MafF_(M8194)
437	wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk.narrowPeak	HepG2	None	MafK_(ab50322)	ChIP HepG2 MafK_(ab50322)
438	wgEncodeAwgTfbsSydhHepg2Mafksc477IggrabUniPk.narrowPeak	HepG2	None	MafK_(SC-477)	ChIP HepG2 MafK_(SC-477)
439	wgEncodeAwgTfbsSydhHepg2MaxIggrabUniPk.narrowPeak	HepG2	None	Max	ChIP HepG2 Max
440	wgEncodeAwgTfbsSydhHepg2Mazab85725IggrabUniPk.narrowPeak	HepG2	None	MAZ_(ab85725)	ChIP HepG2 MAZ_(ab85725)
441	wgEncodeAwgTfbsSydhHepg2Mxi1UniPk.narrowPeak	HepG2	None	Mxi1_(AF4185)	ChIP HepG2 Mxi1_(AF4185)
